nombre;year;cantidad;diff
ABED ;2017;1;0,0
ABED ;2018;1;0,0
ABED ;2019;1;0,0
ABED ;2020;1;0,0
ABED-NÉGO ;2018;1;0,0
ABEDENAISON ;2020;1;0,0
ABEDIEL ;2010;1;0,0
ABEDLEY ;2020;1;0,0
ABEDO ;2018;1;0,0
ABEE ;2017;1;0,0
ABEGAIL ;2016;1;0,0
ABEHL ;2016;1;0,0
ABEL ;2010;45;44,0
ABEL ;2011;35;-10,0
ABEL ;2012;40;5,0
ABEL ;2013;36;-4,0
ABEL ;2014;37;1,0
ABEL ;2015;44;7,0
ABEL ;2016;28;-16,0
ABEL ;2017;31;3,0
ABEL ;2018;36;5,0
ABEL ;2019;58;22,0
ABEL ;2020;45;-13,0
ABEL ;2021;38;-7,0
ABELARDO ;2010;2;-36,0
ABELARDO ;2012;2;0,0
ABELARDO ;2013;2;0,0
ABELARDO ;2015;1;-1,0
ABELARDO ;2019;2;1,0
ABELARDO ;2021;1;-1,0
ABELET ;2015;1;0,0
ABELIA ;2015;1;0,0
ABELINO ;2013;1;0,0
ABELINO ;2020;1;0,0
ABELL ;2021;1;0,0
ABELLA ;2020;1;0,0
ABELLARDS ;2017;1;0,0
ABELSON ;2021;1;0,0
ABENDY ;2020;1;0,0
ABGAR ;2015;1;0,0
ABHAY ;2010;1;0,0
ABHAY ;2014;1;0,0
ABHAY ;2015;1;0,0
ABHAY ;2018;1;0,0
ABHAY ;2019;1;0,0
ABHAY ;2021;1;0,0
ABHAYAJIT ;2019;1;0,0
ABHIE ;2012;1;0,0
ABHIGAIL ;2020;1;0,0
ABHIRAM ;2017;1;0,0
ABHISHEK ;2011;1;0,0
ABHRIL ;2021;1;0,0
ABHY ;2013;1;0,0
ABHY ;2014;2;1,0
ABHY ;2020;1;-1,0
ABI ;2010;3;2,0
ABI ;2011;2;-1,0
ABI ;2012;4;2,0
ABI ;2013;3;-1,0
ABI ;2014;4;1,0
ABI ;2015;1;-3,0
ABI ;2016;5;4,0
ABI ;2017;4;-1,0
ABI ;2018;1;-3,0
ABI ;2019;4;3,0
ABI ;2020;3;-1,0
ABI ;2021;1;-2,0
ABI-ALANDEZ ;2018;1;0,0
ABI-NAËL ;2020;1;0,0
ABIA ;2012;1;0,0
ABIA ;2018;1;0,0
ABIAH ;2013;1;0,0
ABIANCA ;2017;1;0,0
ABIANCA ;2020;1;0,0
ABIANNYS ;2021;1;0,0
ABIATHAR ;2017;1;0,0
ABIATRICE ;2017;1;0,0
ABICHAEL ;2019;1;0,0
ABICHAELLE ;2019;1;0,0
ABICHAI ;2018;1;0,0
