nombre;year;cantidad_x;diff;cantidad_y;pct_yoy;_merge
ABRAHAAM ;2019;1;0,0;;;left_only
ABRAHAAM ;2021;1;0,0;;;left_only
ABRAHAM ;2011;133;2,0;;;left_only
ABRAHAM ;2012;120;-13,0;;;left_only
ABRAHAM ;2013;102;-18,0;;;left_only
ABRAHAM ;2014;127;25,0;;;left_only
ABRAHAM ;2015;112;-15,0;;;left_only
ABRAHAM ;2016;100;-12,0;;;left_only
ABRAHAM ;2017;183;83,0;;;left_only
ABRAHAM ;2018;194;11,0;;;left_only
ABRAHAM ;2019;183;-11,0;;;left_only
ABRAHAM ;2020;162;-21,0;;;left_only
ABRAHAM ;2021;144;-18,0;;;left_only
ABRAHAN ;2011;4;-1,0;;;left_only
ABRAHAN ;2013;6;2,0;;;left_only
ABRAHAN ;2014;2;-4,0;;;left_only
ABRAHAN ;2015;6;4,0;;;left_only
ABRAHAN ;2016;2;-4,0;;;left_only
ABRAHAN ;2017;3;1,0;;;left_only
ABRAHAN ;2018;1;-2,0;;;left_only
ABRAHAN ;2019;1;0,0;;;left_only
ABRAHAN ;2020;2;1,0;;;left_only
ABRAHAN ;2021;4;2,0;;;left_only
ABRAHM ;2015;1;0,0;;;left_only
ABRAHM ;2018;1;0,0;;;left_only
ABRAHÁN ;2011;1;0,0;;;left_only
ABRAHÁN ;2012;1;0,0;;;left_only
ABRAHÁN ;2014;1;0,0;;;left_only
ABRAHÁN ;2018;1;0,0;;;left_only
ABRAHÁN ;2020;1;0,0;;;left_only
ABRAM ;2012;1;-4,0;;;left_only
ABRAM ;2013;2;1,0;;;left_only
ABRAM ;2014;3;1,0;;;left_only
ABRAM ;2017;1;-2,0;;;left_only
ABRAM ;2020;1;0,0;;;left_only
ABRAM ;2021;1;0,0;;;left_only
ABRAN ;2016;1;0,0;;;left_only
ABRAN ;2019;1;0,0;;;left_only
ABRAN ;2021;1;0,0;;;left_only
ABRARAM ;2018;1;0,0;;;left_only
ABRARAM ;2020;1;0,0;;;left_only
ABRHAM ;2017;1;0,0;;;left_only
ABRIANNA ;2015;1;0,0;;;left_only
ABRIEL ;2018;1;0,0;;;left_only
ABRIEL ;2021;1;0,0;;;left_only
ABRIELLE ;2015;1;0,0;;;left_only
ABRIELLE ;2017;1;0,0;;;left_only
ABRIELLE ;2020;2;1,0;;;left_only
ABRIHANA ;2021;1;0,0;;;left_only
ABRIL ;2011;23;-6,0;;;left_only
ABRIL ;2012;24;1,0;;;left_only
ABRIL ;2013;24;0,0;;;left_only
ABRIL ;2014;27;3,0;;;left_only
ABRIL ;2015;43;16,0;;;left_only
ABRIL ;2016;42;-1,0;;;left_only
ABRIL ;2017;38;-4,0;;;left_only
ABRIL ;2018;37;-1,0;;;left_only
ABRIL ;2019;42;5,0;;;left_only
ABRIL ;2020;48;6,0;;;left_only
ABRIL ;2021;49;1,0;;;left_only
ABRILL ;2011;2;1,0;;;left_only
ABRILL ;2013;1;-1,0;;;left_only
ABRILL ;2015;1;0,0;;;left_only
ABRILL ;2017;1;0,0;;;left_only
ABRILL ;2018;1;0,0;;;left_only
ABRILL ;2021;1;0,0;;;left_only
ABSALOM ;2015;2;1,0;;;left_only
ABSALON ;2021;1;0,0;;;left_only
ABSALÓN ;2011;3;-1,0;;;left_only
ABSALÓN ;2012;2;-1,0;;;left_only
ABSALÓN ;2013;2;0,0;;;left_only
ABSALÓN ;2014;2;0,0;;;left_only
ABSALÓN ;2015;3;1,0;;;left_only
ABSALÓN ;2016;5;2,0;;;left_only
ABSALÓN ;2017;1;-4,0;;;left_only
ABSALÓN ;2018;1;0,0;;;left_only
ABSALÓN ;2019;1;0,0;;;left_only
ABSALÓN ;2020;3;2,0;;;left_only
ABSALÓN ;2021;2;-1,0;;;left_only
ABY ;2011;2;1,0;;;left_only
ABY ;2012;2;0,0;;;left_only
ABY ;2013;2;0,0;;;left_only
ABY ;2014;2;0,0;;;left_only
ABY ;2016;6;4,0;;;left_only
ABY ;2017;1;-5,0;;;left_only
ABY ;2018;1;0,0;;;left_only
ABY ;2019;1;0,0;;;left_only
ABY ;2020;3;2,0;;;left_only
ABYGAIL ;2011;1;0,0;;;left_only
ABYGAIL ;2012;2;1,0;;;left_only
ABYGAIL ;2013;3;1,0;;;left_only
ABYGAIL ;2015;1;-2,0;;;left_only
ABYGAIL ;2018;1;0,0;;;left_only
ABYGAIL ;2019;1;0,0;;;left_only
ABYGAIL ;2020;1;0,0;;;left_only
ABYGAIL ;2021;1;0,0;;;left_only
ACACIA ;2014;1;0,0;;;left_only
ACACIA ;2015;4;3,0;;;left_only
ACACIA ;2017;3;-1,0;;;left_only
ACACIA ;2020;1;-2,0;;;left_only
ACACIA ;2021;1;0,0;;;left_only
ACASIA ;2015;1;0,0;;;left_only
ACAÑIR ;2019;1;0,0;;;left_only
ACENET ;2015;1;0,0;;;left_only
ACENET ;2020;1;0,0;;;left_only
ACENETH ;2016;2;1,0;;;left_only
ACENETH ;2020;1;-1,0;;;left_only
ACHELEY ;2012;1;0,0;;;left_only
ACHELEY ;2018;2;1,0;;;left_only
ACHELEY ;2020;1;-1,0;;;left_only
ACHELINE ;2019;1;0,0;;;left_only
ACHILLE ;2019;1;0,0;;;left_only
ACHLEY ;2011;2;1,0;;;left_only
ACHLEY ;2012;1;-1,0;;;left_only
ACHLEY ;2013;1;0,0;;;left_only
ACHLEY ;2014;1;0,0;;;left_only
ACHLEY ;2016;2;1,0;;;left_only
ACHLI ;2013;1;0,0;;;left_only
ACHLIE ;2015;1;0,0;;;left_only
ACHLY ;2011;7;-1,0;;;left_only
ACHLY ;2012;2;-5,0;;;left_only
ACHLY ;2013;4;2,0;;;left_only
ACHLY ;2014;1;-3,0;;;left_only
ACHLY ;2015;1;0,0;;;left_only
ACHLY ;2016;1;0,0;;;left_only
ACHLY ;2017;2;1,0;;;left_only
ACHLY ;2021;1;-1,0;;;left_only
ACHLYN ;2014;1;-1,0;;;left_only
ACKEMY ;2018;1;0,0;;;left_only
ACKERLEY ;2020;1;0,0;;;left_only
ACKSEL ;2018;1;0,0;;;left_only
ACSA ;2011;8;-1,0;;;left_only
ACSA ;2012;4;-4,0;;;left_only
ACSA ;2013;2;-2,0;;;left_only
ACSA ;2015;6;4,0;;;left_only
ACSA ;2016;3;-3,0;;;left_only
ACSA ;2017;2;-1,0;;;left_only
ACSA ;2018;5;3,0;;;left_only
ACSA ;2019;4;-1,0;;;left_only
ACSA ;2020;3;-1,0;;;left_only
ACSA ;2021;4;1,0;;;left_only
ACSEL ;2013;1;0,0;;;left_only
ACXA ;2019;1;0,0;;;left_only
ACXEL ;2011;2;-2,0;;;left_only
ACXEL ;2013;1;-1,0;;;left_only
ACXEL ;2014;2;1,0;;;left_only
ACXEL ;2015;2;0,0;;;left_only
ACXEL ;2019;1;-1,0;;;left_only
